Prompt;Response;Ground Truth
"Rosanda Mok
Rosanda Mok Ka-han( born 23 May 1972) is a Democratic Party politician in Hong Kong. She is the former chairman of the pro-democracy pro-grassroots Hong Kong Association for Democracy and People's Livelihood( ADPL) and former member of the Kowloon City District Council for Ma Tau Wai.

Where was the husband of Mok Kwai-Lan born?";Macau.;Foshan
"Are You Afraid of the Dark? (disambiguation)
Are You Afraid of the Dark? may refer to:

Did the movies Afraid Of The Dark and Smiley (2012 Film), originate from the same country?";No.;no
"Bolshaya Pyora
Did you mean:

Are both Enmelen and Yelshanka located in the same country?";Yes.;yes
"The Battle of New Orleans
``The Battle of New Orleans ''Single by Johnny Horton B - side`` All for the Love of a Girl'' Released April 1959 Recorded 1959 Genre Country Length 2: 33 Label Columbia Songwriter (s) Jimmy Driftwood Producer (s) Don Law Johnny Horton singles chronology ``When It's Springtime in Alaska (It's Forty Below) ''(1959)`` The Battle of New Orleans'' (1959) ``Johnny Reb ''(1959)`` When It's Springtime in Alaska (It's Forty Below)'' (1959) ``The Battle of New Orleans ''(1959)`` Johnny Reb'' (1959)

What is the cause of death of performer of song Blues Run The Game?";Suicide.;pneumonia
"Freestyle 4
""Freestyle 4"" is a song by American hip-hop artist Kanye West that features vocals from rapper Desiigner, which is from West's seventh studio album, ""The Life of Pablo"" (2016). It was remixed by Tyler, the Creator in March 2016.

Are Freestylers and The Nouvelles both from the same country?";No.;yes
"Minugurulu
Minugurulu is a 2012 Telugu social problem film co-written and directed by Ayodhya Kumar Krishnamsetty. The Movie dubbed in Kannada in same name. The film was selected as Best Indian Film at the 9th"" India International Children's Film Festival"", held at Bangalore. the film is the “ First Telugu script to be preserved in Oscar Library ‘s permanent core collection ” and First ever Telugu film that is contended for OSCAR best feature 2014 Along with 323 Features. The film has also garnered the"" Akkineni Vamsee International Award."" The film has received seven state Nandi Awards including Best Film( Silver), and Best First Film of a director for the year 2012.

Which film has the director who was born later, Eradu Rekhegalu or The Gentleman From Nowhere?";The Gentleman From Nowhere.;Eradu Rekhegalu
"Eleanor of England, Queen of Castile
Eleanor of England (c.1161 – 31 October 1214), was Queen of Castile and Toledo as wife of Alfonso VIII of Castile. She was the sixth child and second daughter of Henry II, King of England, and Eleanor of Aquitaine.

Who is Eleanor Of England, Countess Of Leicester's paternal grandmother?";Matilda of England.;Eleanor of Aquitaine
"Follow Me Down
Follow Me Down may refer to:

Where was the director of film I'Ll Follow You Down born?";Canada;Mississauga
"Victoria, Princess Royal
With the death of King Frederick William IV on 2 January 1861, his brother, who had acted as regent since 1858, ascended the throne as King William I. Frederick was then the new crown prince of Prussia but his situation at court did not change much: his father refused to increase his allowance, and Crown Princess Victoria continued to contribute significantly to the family budget with her dowry and allowance. In a letter to the Baron von Stockmar, Prince Albert commented on the situation:

Where was the place of burial of Princess Barbara Of Prussia's father?";Potsdam;Esparza
"List of horror films of 2011
A list of horror films released in 2011.

Which film has more directors, A Night Of Horror or The Whispering Shadow?";A Night of Horror has more directors.;A Night Of Horror
"Kadambari Devi
Kadambari Devi (1858 - 21 April 1884) was the wife of Jyotirindranath Tagore and daughter-in-law of Debendranath Tagore. She was nine years younger than her husband, whom she married on 5 July 1868 (২৫শে আষাঢ়, ১২৭৫ বঙ্গাব্দ), when she was 10. He arranged for her to be educated. She was nearly the same age as her brother-in-law Rabindranath Tagore (2 years elder). She inspired young Rabindranath in composing many of his poems with her creative feedback and comments. She was also a good friend and playmate. She was one of the women who played a very important part in his life. Her relationship with Tagore was controversial and had elements of tragedy. For reasons that are not known, she committed suicide on 21 April 1884, four months after Rabindranath Tagore married. The Tagore family always remained silent about her suicide. Rumors of family problems having led to her suicide have circulated. After Kadambari Devi's death, Rabindranath was completely broken. For long after her death, he wrote many songs and poems in her memory. On May 8, 2015 director Suman Ghosh released a film on the subject called ""Kadambari"", starring Konkona Sen Sharma and Parambrata Chatterjee. Another film is ""Cherosakha He"".

Who is younger, Vedran Purić or Jenő Kuti?";Jenő Kuti;Vedran Purić
"Five Little Peppers at Home
Five Little Peppers at Home is a 1940 American drama black and white film. It is the second Five Little Peppers film.

Which film has the director died first, To Mary – With Love or Five Little Peppers And How They Grew?";To Mary – With Love;To Mary – With Love
"2018 Cannes Film Festival
2018 Cannes Film Festival Official poster of the 71st Cannes Film Festival featuring Jean - Paul Belmondo and Anna Karina in Pierrot le Fou (1965) Opening film Everybody Knows Closing film The Man Who Killed Don Quixote Location Cannes, France Founded 1946 Awards Palme d'Or (Shoplifters) Hosted by Édouard Baer No. of films 21 (In Competition) 18 (Un Certain Regard) Festival date 8 -- 19 May 2018 Website festival-cannes.com/en

Which film has the director born later, Where Are You? I'M Here or 11 Flowers?";I'M Here.;11 Flowers
"Marianne Pistohlkors
Marianne Pistohlkors( born Marianna Erikovna von Pistohlkors; June 30, 1890 – May 14, 1976) was a Russian- born aristocrat and later an actress. She was a suspected co-conspirator in the murder of Grigori Rasputin. As the first wife of Count Nicholas von Zarnekau, she was known for many years as Countess Marianne von Zarnekau. She became one of the first women of nobility to attend the Imperial School of Dramatic Arts, and she appeared under the stage name of Mariana Fiory in MGM's 1944 film,"" Song of Russia"".

Who is Countess Alexandra Von Zarnekau's paternal grandmother?";Marianne Pistohlkors;Princess Therese of Nassau-Weilburg
"Aakasha Ganga
Aakasha Ganga is a 1999 Indian Malayalam-language horror-thriller film directed by Vinayan, starring Divya Unni and Mukesh and produced by Aakash Films. It was dubbed in Tamil as ""Avala Aaviya"" and in Hindi as ""Maaya Ka Saaya"". A sequel of the movie Aakasha Ganga 2 has been released on November 1,2019.

Which film was released earlier, Gangai Karai Paattu or God In Heaven... Arizona On Earth?";"""Gangai Karai Paattu"" was released earlier.";God In Heaven... Arizona On Earth
"Landgravine Charlotte of Hesse-Kassel
Charlotte of Hesse- Kassel( 20 November 1627 – 26 March 1686) was the consort of Charles I Louis, Elector Palatine and mother of Elizabeth Charlotte of the Palatinate.

Where did Elisabeth Of Hesse, Electress Palatine's mother die?";Bückeburg.;Kassel
"Where Are You? (1937 song)
"" Where Are You?"" is a popular song composed by Jimmy McHugh, with lyrics by Harold Adamson. The song was written for the 1937 film"" Top of the Town"" and was originally performed by Gertrude Niesen. Niesen also made a commercial recording of the song for Brunswick Records and this was popular. "" Where Are You?"" has been recorded by many performers.

What is the place of birth of the performer of song Thru Your Phone?";Chicago.;Bronx
"Ulysses S. Grant and the American Civil War
Grant trained Union military recruits and was promoted to Colonel in June 1861. Maj. Gen. John C. Frémont, who viewed in Grant an ``iron will ''to win, appointed Grant to commander of the District of Cairo. Grant became famous around the nation after capturing Fort Donelson in February 1862 and was promoted to Major General by President Abraham Lincoln. After a series of decisive yet costly battles and victories at Shiloh, Vicksburg, and Chattanooga, Grant was promoted to Lieutenant General by President Lincoln in 1864 and given charge of all the Union Armies. Grant went on to defeat Robert E. Lee after another series of costly battles in the Overland Campaign, Petersburg, and Appomattox. After the Civil War, Grant was given his final promotion of General of the Armed Forces in 1866 and served until 1869. Grant's popularity as a Union war general enabled him to be elected two terms as the 18th President of the United States.

Where did Ulysses S. Grant Jr.'s father graduate from?";United States Military Academy;Army
"Amy Makes Three
Amy Makes Three is an upcoming American psychological thriller, written and directed by Josh Sternfeld. Principal photography began on June 23, 2015 in Wappingers Falls, Dutchess County in upstate New York.

Are the movies Amy (2015 Film) and Manhattan Angel, from the same country?";Yes;no
"Charles Amadeus, Duke of Nemours
Charles Amadeus of Savoy, Duke of Nemours( 12 April 162430 July 1652) was a French military leader and magnate. He was the father of the penultimate Duchess of Savoy and of a Queen of Portugal.

What is the date of birth of Marie Jeanne Baptiste Of Savoy-Nemours's husband?";12 April 1624;20 June 1634
"Gary Anthony Williams
Gary Anthony Williams (born March 14, 1966) is an American actor and comedian who provided the voice of Uncle Ruckus on The Boondocks, Yancy Westridge in the video game Alpha Protocol, and Horace Warfield in StarCraft II: Wings of Liberty. He appeared on the television series Weeds, Boston Legal, Blue Collar TV, and as ``Abe ''Kenarban in Malcolm in the Middle. Williams co-founded and is Artistic Director of the L.A. Comedy Shorts film festival in Hollywood, California. He also starred alongside Cedric the Entertainer on the hit TV Land sitcom The Soul Man. Williams is currently a regular on Whose Line is it Anyway?.

Where was the director of film Rocket Attack U.S.A. born?";L.A.;Bakersfield, California
"A Nice Hot Bath With...
A Nice Hot Bath With ... is the name of a Crazy Penis album produced in 1999.

When was the composer of song Hot Time In The Town Of Berlin born?";Hans Lang was born in 1908.;November 7, 1916
"Portrait of Lorenzo Cybo
Portrait of Lorenzo Cybo( 1524) is a painting by the Italian late Renaissance artist Parmigianino. It is housed in the Statens Museum for Kunst, Copenhagen, Denmark.

Where was the place of burial of Lorenzo Cybo's mother?";Pistoia, Italy;St. Peter's Basilica
"Fernando Fragata
Filmmaker Fernando Fragata started his career in Portugal with the short film Love& Alchemy, which won him several International awards for best short film and best director. His other Portuguese films include the romantic comedy Sweet Nightmare and the critically acclaimed action comedy Chasing Life( Pulsação Zero). In 2004 he wrote and directed the mystery crime The Trunk( Sorte Nula), which became the top grossing Portuguese film of that year. Backlight came in 2010 and again broke box office records in his home country.

Are the directors of films Back To Back (1996 Film) and The White Hen both from the same country?";Yes;yes
